Country_Region,Province_State,t,Incidence,est_incid
Mainland China,Shaanxi,2020-02-16,4,NA
Mainland China,Shaanxi,2020-02-17,4,NA
Mainland China,Shaanxi,2020-02-18,0,NA
Mainland China,Shaanxi,2020-02-19,2,NA
Mainland China,Shaanxi,2020-02-20,3,NA
Mainland China,Shaanxi,2020-02-21,0,NA
Mainland China,Shaanxi,2020-02-22,0,NA
Mainland China,Shaanxi,2020-02-23,0,NA
Mainland China,Shaanxi,2020-02-24,0,NA
Mainland China,Shaanxi,2020-02-25,0,NA
Mainland China,Shandong,2020-01-22,2,NA
Mainland China,Shandong,2020-01-23,4,NA
Mainland China,Shandong,2020-01-24,9,NA
Mainland China,Shandong,2020-01-25,12,NA
Mainland China,Shandong,2020-01-26,19,NA
Mainland China,Shandong,2020-01-27,29,NA
Mainland China,Shandong,2020-01-28,20,NA
Mainland China,Shandong,2020-01-29,35,NA
Mainland China,Shandong,2020-01-30,28,NA
Mainland China,Shandong,2020-01-31,26,NA
Mainland China,Shandong,2020-02-01,22,NA
Mainland China,Shandong,2020-02-02,24,NA
Mainland China,Shandong,2020-02-03,29,NA
Mainland China,Shandong,2020-02-04,16,NA
Mainland China,Shandong,2020-02-05,32,NA
Mainland China,Shandong,2020-02-06,40,NA
Mainland China,Shandong,2020-02-07,39,NA
Mainland China,Shandong,2020-02-08,30,NA
Mainland China,Shandong,2020-02-09,28,NA
Mainland China,Shandong,2020-02-10,22,NA
Mainland China,Shandong,2020-02-11,21,NA
Mainland China,Shandong,2020-02-12,10,NA
Mainland China,Shandong,2020-02-13,12,NA
Mainland China,Shandong,2020-02-14,14,NA
Mainland China,Shandong,2020-02-15,9,NA
Mainland China,Shandong,2020-02-16,5,NA
Mainland China,Shandong,2020-02-17,4,NA
Mainland China,Shandong,2020-02-18,2,NA
Mainland China,Shandong,2020-02-19,1,NA
Mainland China,Shandong,2020-02-20,2,NA
Mainland China,Shandong,2020-02-21,203,NA
Mainland China,Shandong,2020-02-22,1,NA
Mainland China,Shandong,2020-02-23,4,NA
Mainland China,Shandong,2020-02-24,1,NA
Mainland China,Shandong,2020-02-25,1,NA
Mainland China,Shanghai,2020-01-22,9,NA
Mainland China,Shanghai,2020-01-23,7,NA
Mainland China,Shanghai,2020-01-24,4,NA
Mainland China,Shanghai,2020-01-25,13,NA
Mainland China,Shanghai,2020-01-26,7,NA
Mainland China,Shanghai,2020-01-27,13,NA
Mainland China,Shanghai,2020-01-28,13,NA
Mainland China,Shanghai,2020-01-29,30,NA
Mainland China,Shanghai,2020-01-30,16,NA
Mainland China,Shanghai,2020-01-31,23,NA
Mainland China,Shanghai,2020-02-01,34,NA
Mainland China,Shanghai,2020-02-02,13,NA
Mainland China,Shanghai,2020-02-03,21,NA
Mainland China,Shanghai,2020-02-04,16,NA
Mainland China,Shanghai,2020-02-05,24,NA
Mainland China,Shanghai,2020-02-06,14,NA
Mainland China,Shanghai,2020-02-07,20,NA
Mainland China,Shanghai,2020-02-08,9,NA
Mainland China,Shanghai,2020-02-09,7,NA
Mainland China,Shanghai,2020-02-10,6,NA
Mainland China,Shanghai,2020-02-11,4,NA
Mainland China,Shanghai,2020-02-12,8,NA
Mainland China,Shanghai,2020-02-13,4,NA
Mainland China,Shanghai,2020-02-14,3,NA
Mainland China,Shanghai,2020-02-15,8,NA
Mainland China,Shanghai,2020-02-16,2,NA
Mainland China,Shanghai,2020-02-17,5,NA
Mainland China,Shanghai,2020-02-18,0,NA
Mainland China,Shanghai,2020-02-19,0,NA
Mainland China,Shanghai,2020-02-20,1,NA
Mainland China,Shanghai,2020-02-21,0,NA
Mainland China,Shanghai,2020-02-22,1,NA
Mainland China,Shanghai,2020-02-23,0,NA
Mainland China,Shanghai,2020-02-24,0,NA
Mainland China,Shanghai,2020-02-25,1,NA
Mainland China,Shanxi,2020-01-22,1,NA
Mainland China,Shanxi,2020-01-23,0,NA
Mainland China,Shanxi,2020-01-24,0,NA
Mainland China,Shanxi,2020-01-25,5,NA
Mainland China,Shanxi,2020-01-26,3,NA
Mainland China,Shanxi,2020-01-27,4,NA
Mainland China,Shanxi,2020-01-28,14,NA
Mainland China,Shanxi,2020-01-29,0,NA
Mainland China,Shanxi,2020-01-30,8,NA
Mainland China,Shanxi,2020-01-31,4,NA
Mainland China,Shanxi,2020-02-01,8,NA
Mainland China,Shanxi,2020-02-02,19,NA
Mainland China,Shanxi,2020-02-03,8,NA
Mainland China,Shanxi,2020-02-04,7,NA
Mainland China,Shanxi,2020-02-05,0,NA
Mainland China,Shanxi,2020-02-06,15,NA
Mainland China,Shanxi,2020-02-07,8,NA
Mainland China,Shanxi,2020-02-08,11,NA
Mainland China,Shanxi,2020-02-09,4,NA
Mainland China,Shanxi,2020-02-11,5,NA
Mainland China,Shanxi,2020-02-12,2,NA
Mainland China,Shanxi,2020-02-13,0,NA
Mainland China,Shanxi,2020-02-14,1,NA
Mainland China,Shanxi,2020-02-15,1,NA
Mainland China,Shanxi,2020-02-16,1,NA
Mainland China,Shanxi,2020-02-17,1,NA
Mainland China,Shanxi,2020-02-18,1,NA
Mainland China,Shanxi,2020-02-19,0,NA
Mainland China,Shanxi,2020-02-20,1,NA
Mainland China,Shanxi,2020-02-21,0,NA
Mainland China,Shanxi,2020-02-22,0,NA
Mainland China,Shanxi,2020-02-23,0,NA
Mainland China,Shanxi,2020-02-24,1,NA
Mainland China,Shanxi,2020-02-25,0,NA
Mainland China,Sichuan,2020-01-22,5,NA
Mainland China,Sichuan,2020-01-23,3,NA
Mainland China,Sichuan,2020-01-24,7,NA
Mainland China,Sichuan,2020-01-25,13,NA
Mainland China,Sichuan,2020-01-26,16,NA
Mainland China,Sichuan,2020-01-27,25,NA
Mainland China,Sichuan,2020-01-28,21,NA
Mainland China,Sichuan,2020-01-29,18,NA
Mainland China,Sichuan,2020-01-30,34,NA
Mainland China,Sichuan,2020-01-31,35,NA
Mainland China,Sichuan,2020-02-01,30,NA
Mainland China,Sichuan,2020-02-02,24,NA
Mainland China,Sichuan,2020-02-03,23,NA
Mainland China,Sichuan,2020-02-04,28,NA
Mainland China,Sichuan,2020-02-05,19,NA
Mainland China,Sichuan,2020-02-06,20,NA
Mainland China,Sichuan,2020-02-07,23,NA
Mainland China,Sichuan,2020-02-08,20,NA
Mainland China,Sichuan,2020-02-09,22,NA
Mainland China,Sichuan,2020-02-10,19,NA
Mainland China,Sichuan,2020-02-11,12,NA
Mainland China,Sichuan,2020-02-12,19,NA
Mainland China,Sichuan,2020-02-13,15,NA
Mainland China,Sichuan,2020-02-14,12,NA
Mainland China,Sichuan,2020-02-15,7,NA
Mainland China,Sichuan,2020-02-16,11,NA
Mainland China,Sichuan,2020-02-17,14,NA
Mainland China,Sichuan,2020-02-18,13,NA
Mainland China,Sichuan,2020-02-19,6,NA
Mainland China,Sichuan,2020-02-20,6,NA
Mainland China,Sichuan,2020-02-21,5,NA
Mainland China,Sichuan,2020-02-22,1,NA
Mainland China,Sichuan,2020-02-23,0,NA
Mainland China,Sichuan,2020-02-24,1,NA
Mainland China,Sichuan,2020-02-25,2,NA
Mainland China,Tianjin,2020-01-22,4,NA
Mainland China,Tianjin,2020-01-23,0,NA
Mainland China,Tianjin,2020-01-24,4,NA
Mainland China,Tianjin,2020-01-25,2,NA
Mainland China,Tianjin,2020-01-26,4,NA
Mainland China,Tianjin,2020-01-27,9,NA
Mainland China,Tianjin,2020-01-28,1,NA
Mainland China,Tianjin,2020-01-29,3,NA
Mainland China,Tianjin,2020-01-30,4,NA
Mainland China,Tianjin,2020-01-31,1,NA
Mainland China,Tianjin,2020-02-01,9,NA
Mainland China,Tianjin,2020-02-02,7,NA
Mainland China,Tianjin,2020-02-03,12,NA
Mainland China,Tianjin,2020-02-04,7,NA
Mainland China,Tianjin,2020-02-05,2,NA
Mainland China,Tianjin,2020-02-06,10,NA
Mainland China,Tianjin,2020-02-07,2,NA
Mainland China,Tianjin,2020-02-08,7,NA
Mainland China,Tianjin,2020-02-09,3,NA
Mainland China,Tianjin,2020-02-10,4,NA
Mainland China,Tianjin,2020-02-11,11,NA
Mainland China,Tianjin,2020-02-12,6,NA
Mainland China,Tianjin,2020-02-13,7,NA
Mainland China,Tianjin,2020-02-14,1,NA
Mainland China,Tianjin,2020-02-15,2,NA
Mainland China,Tianjin,2020-02-16,2,NA
Mainland China,Tianjin,2020-02-17,1,NA
Mainland China,Tianjin,2020-02-18,3,NA
Mainland China,Tianjin,2020-02-19,2,NA
Mainland China,Tianjin,2020-02-20,1,NA
Mainland China,Tianjin,2020-02-21,1,NA
Mainland China,Tianjin,2020-02-22,3,NA
Mainland China,Tianjin,2020-02-23,0,NA
Mainland China,Tianjin,2020-02-24,0,NA
Mainland China,Tianjin,2020-02-25,0,NA
Mainland China,Tibet,2020-01-22,0,NA
Mainland China,Tibet,2020-01-23,0,NA
Mainland China,Tibet,2020-01-30,0,NA
Mainland China,Tibet,2020-01-31,0,NA
Mainland China,Tibet,2020-02-01,0,NA
Mainland China,Tibet,2020-02-12,0,NA
Mainland China,Xinjiang,2020-01-22,0,NA
Mainland China,Xinjiang,2020-01-23,0,NA
Mainland China,Xinjiang,2020-01-24,0,NA
Mainland China,Xinjiang,2020-01-25,1,NA
Mainland China,Xinjiang,2020-01-26,1,NA
Mainland China,Xinjiang,2020-01-27,1,NA
Mainland China,Xinjiang,2020-01-28,5,NA
Mainland China,Xinjiang,2020-01-29,3,NA
Mainland China,Xinjiang,2020-01-30,1,NA
Mainland China,Xinjiang,2020-01-31,3,NA
Mainland China,Xinjiang,2020-02-01,1,NA
Mainland China,Xinjiang,2020-02-02,3,NA
Mainland China,Xinjiang,2020-02-03,3,NA
Mainland China,Xinjiang,2020-02-04,5,NA
Mainland China,Xinjiang,2020-02-05,3,NA
Mainland China,Xinjiang,2020-02-06,4,NA
Mainland China,Xinjiang,2020-02-07,3,NA
Mainland China,Xinjiang,2020-02-08,3,NA
Mainland China,Xinjiang,2020-02-09,3,NA
Mainland China,Xinjiang,2020-02-10,4,NA
Mainland China,Xinjiang,2020-02-11,6,NA
Mainland China,Xinjiang,2020-02-12,4,NA
Mainland China,Xinjiang,2020-02-13,4,NA
Mainland China,Xinjiang,2020-02-14,2,NA
Mainland China,Xinjiang,2020-02-15,5,NA
Mainland China,Xinjiang,2020-02-16,1,NA
Mainland China,Xinjiang,2020-02-17,4,NA
Mainland China,Xinjiang,2020-02-18,1,NA
Mainland China,Xinjiang,2020-02-19,0,NA
Mainland China,Xinjiang,2020-02-20,0,NA
Mainland China,Xinjiang,2020-02-21,0,NA
Mainland China,Xinjiang,2020-02-22,0,NA
Mainland China,Xinjiang,2020-02-23,0,NA
Mainland China,Xinjiang,2020-02-24,0,NA
Mainland China,Yunnan,2020-01-22,1,NA
Mainland China,Yunnan,2020-01-23,1,NA
Mainland China,Yunnan,2020-01-24,3,NA
Mainland China,Yunnan,2020-01-25,6,NA
Mainland China,Yunnan,2020-01-26,5,NA
Mainland China,Yunnan,2020-01-27,10,NA
Mainland China,Yunnan,2020-01-28,18,NA
Mainland China,Yunnan,2020-01-29,11,NA
Mainland China,Yunnan,2020-01-30,15,NA
Mainland China,Yunnan,2020-01-31,13,NA
Mainland China,Yunnan,2020-02-01,10,NA
Mainland China,Yunnan,2020-02-02,12,NA
Mainland China,Yunnan,2020-02-03,12,NA
Mainland China,Yunnan,2020-02-04,5,NA
Mainland China,Yunnan,2020-02-05,6,NA
Mainland China,Yunnan,2020-02-06,5,NA
Mainland China,Yunnan,2020-02-07,5,NA
Mainland China,Yunnan,2020-02-08,0,NA
Mainland China,Yunnan,2020-02-09,3,NA
Mainland China,Yunnan,2020-02-10,8,NA
Mainland China,Yunnan,2020-02-11,4,NA
Mainland China,Yunnan,2020-02-12,1,NA
Mainland China,Yunnan,2020-02-13,2,NA
Mainland China,Yunnan,2020-02-14,6,NA
Mainland China,Yunnan,2020-02-15,6,NA
Mainland China,Yunnan,2020-02-16,3,NA
Mainland China,Yunnan,2020-02-17,0,NA
Mainland China,Yunnan,2020-02-18,1,NA
Mainland China,Yunnan,2020-02-19,0,NA
Mainland China,Yunnan,2020-02-20,2,NA
Mainland China,Yunnan,2020-02-21,0,NA
Mainland China,Yunnan,2020-02-22,0,NA
Mainland China,Yunnan,2020-02-23,0,NA
Mainland China,Yunnan,2020-02-24,0,NA
Mainland China,Yunnan,2020-02-25,0,NA
Mainland China,Zhejiang,2020-01-22,10,NA
Mainland China,Zhejiang,2020-01-23,17,NA
Mainland China,Zhejiang,2020-01-24,16,NA
Mainland China,Zhejiang,2020-01-25,19,NA
Mainland China,Zhejiang,2020-01-26,42,NA
Mainland China,Zhejiang,2020-01-27,24,NA
Mainland China,Zhejiang,2020-01-28,45,NA
Mainland China,Zhejiang,2020-01-29,123,NA
Mainland China,Zhejiang,2020-01-30,132,NA
Mainland China,Zhejiang,2020-01-31,110,NA
Mainland China,Zhejiang,2020-02-01,61,NA
Mainland China,Zhejiang,2020-02-02,62,NA
Mainland China,Zhejiang,2020-02-03,63,NA
Mainland China,Zhejiang,2020-02-04,105,NA
Mainland China,Zhejiang,2020-02-05,66,NA
Mainland China,Zhejiang,2020-02-06,59,NA
Mainland China,Zhejiang,2020-02-07,52,NA
Mainland China,Zhejiang,2020-02-08,42,NA
Mainland China,Zhejiang,2020-02-09,27,NA
Mainland China,Zhejiang,2020-02-10,17,NA
Mainland China,Zhejiang,2020-02-11,25,NA
Mainland China,Zhejiang,2020-02-12,14,NA
Mainland China,Zhejiang,2020-02-13,14,NA
Mainland China,Zhejiang,2020-02-14,10,NA
Mainland China,Zhejiang,2020-02-15,7,NA
Mainland China,Zhejiang,2020-02-16,5,NA
Mainland China,Zhejiang,2020-02-17,4,NA
Mainland China,Zhejiang,2020-02-18,1,NA
Mainland China,Zhejiang,2020-02-19,2,NA
Mainland China,Zhejiang,2020-02-20,1,NA
Mainland China,Zhejiang,2020-02-21,28,NA
Mainland China,Zhejiang,2020-02-22,2,NA
Mainland China,Zhejiang,2020-02-23,0,NA
Mainland China,Zhejiang,2020-02-24,0,NA
Mainland China,Zhejiang,2020-02-25,0,NA
Taiwan,Taiwan,2020-01-22,1,NA
Taiwan,Taiwan,2020-01-23,0,NA
Taiwan,Taiwan,2020-01-24,2,NA
Taiwan,Taiwan,2020-01-25,0,NA
Taiwan,Taiwan,2020-01-26,1,NA
Taiwan,Taiwan,2020-01-27,1,NA
Taiwan,Taiwan,2020-01-28,3,NA
Taiwan,Taiwan,2020-01-29,0,NA
Taiwan,Taiwan,2020-01-30,1,NA
Taiwan,Taiwan,2020-01-31,1,NA
Taiwan,Taiwan,2020-02-04,1,NA
Taiwan,Taiwan,2020-02-06,5,NA
Taiwan,Taiwan,2020-02-08,1,NA
Taiwan,Taiwan,2020-02-09,1,NA
Taiwan,Taiwan,2020-02-14,0,NA
Taiwan,Taiwan,2020-02-15,0,NA
Taiwan,Taiwan,2020-02-16,2,NA
Taiwan,Taiwan,2020-02-17,2,NA
Taiwan,Taiwan,2020-02-19,1,NA
Taiwan,Taiwan,2020-02-20,1,NA
Taiwan,Taiwan,2020-02-21,2,NA
Taiwan,Taiwan,2020-02-23,2,NA
Taiwan,Taiwan,2020-02-24,2,NA
Taiwan,Taiwan,2020-02-25,1,NA
NA,Hubei,2019-12-02,NA,9.02369590741737e-5
NA,Hubei,2019-12-03,NA,0.0013535543861126055
NA,Hubei,2019-12-04,NA,0.005865402339821291
NA,Hubei,2019-12-05,NA,0.015765296531622536
NA,Hubei,2019-12-06,NA,0.032389180681308014
NA,Hubei,2019-12-07,NA,0.05549755447536009
NA,Hubei,2019-12-08,NA,0.08452895080750582
NA,Hubei,2019-12-09,NA,0.11991266652264884
NA,Hubei,2019-12-10,NA,0.1660206683158566
NA,Hubei,2019-12-11,NA,0.22891925616892278
NA,Hubei,2019-12-12,NA,0.3139369103130327
NA,Hubei,2019-12-13,NA,0.4195308886419449
NA,Hubei,2019-12-14,NA,0.5383486924891723
NA,Hubei,2019-12-15,NA,0.6629896221354079
NA,Hubei,2019-12-16,NA,0.7945947744579804
NA,Hubei,2019-12-17,NA,0.9484428170248802
NA,Hubei,2019-12-18,NA,1.142150114892618
NA,Hubei,2019-12-19,NA,1.3854214056547942
NA,Hubei,2019-12-20,NA,1.661762870981324
NA,Hubei,2019-12-21,NA,1.9452240910724097
NA,Hubei,2019-12-22,NA,2.2151047742587284
NA,Hubei,2019-12-23,NA,2.4893716490940054
NA,Hubei,2019-12-24,NA,2.8136342942059454
NA,Hubei,2019-12-25,NA,3.2324767135474026
NA,Hubei,2019-12-26,NA,3.7447276459136773
NA,Hubei,2019-12-27,NA,4.285213031603288
NA,Hubei,2019-12-28,NA,4.780515236396138
NA,Hubei,2019-12-29,NA,5.200396990078723
NA,Hubei,2019-12-30,NA,5.634234052761379
NA,Hubei,2019-12-31,NA,6.207498594052048
NA,Hubei,2020-01-01,NA,7.0147350464595775
NA,Hubei,2020-01-02,NA,7.967639326806946
NA,Hubei,2020-01-03,NA,8.867431877511876
NA,Hubei,2020-01-04,NA,9.526959048127836
NA,Hubei,2020-01-05,NA,9.986460465618904
NA,Hubei,2020-01-06,NA,10.555114696286992
NA,Hubei,2020-01-07,NA,11.5671665684078
NA,Hubei,2020-01-08,NA,13.128611477504919
NA,Hubei,2020-01-09,NA,14.814318779955244
NA,Hubei,2020-01-11,NA,16.505924341108823
NA,Hubei,2020-01-12,NA,16.624502237175193
NA,Hubei,2020-01-13,NA,17.355763246297727
NA,Hubei,2020-01-14,NA,19.53776012869301
NA,Hubei,2020-01-20,NA,31.181182420954656
NA,Hubei,2020-01-21,NA,47.73244937227605
